,Unnamed: 0,French,English
0,0,partie,part
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,28,aucune,any
28,29,place,square
29,30,parle,speak
30,31,compris,understood
31,32,savais,knew
32,33,étaient,were
33,34,attention,Warning
34,35,voici,here is
35,36,pourrais,could
36,37,affaire,case
37,38,donner,give
38,39,type,type
39,40,leurs,their
40,41,donné,given
41,42,train,train
42,43,corps,body
43,44,endroit,place
44,45,yeux,eyes
45,46,façon,way
46,47,écoute,listen
47,48,dont,whose
48,49,trouve,find
49,50,premier,first
50,51,perdu,lost
51,52,main,hand
52,53,première,first
53,54,côté,side
54,55,pouvoir,power
55,56,vieux,old
56,57,sois,be
57,58,tiens,here
58,59,matin,morning
59,60,tellement,so much
60,61,enfant,child
61,62,point,point
62,63,venu,came
63,64,suite,after
64,65,pardon,sorry
65,66,venez,come
66,67,devant,in front of
67,68,vers,towards
68,69,minutes,minutes
69,70,demandé,request
70,71,chambre,bedroom
71,72,mis,placed
72,73,belle,beautiful
73,74,droit,law
74,75,aimerais,would like to
75,76,aujourd'hui,today
76,77,mari,husband
77,78,enfin,finally
78,80,eau,water
79,81,attendez,Wait
80,82,parti,left
81,83,nouvelle,new
82,84,boulot,job
83,85,arrêter,Stop
84,86,dirait,would say
85,87,terre,Earth
86,88,compte,account
87,89,donne,given
88,90,loin,far
89,91,fin,end
90,92,croire,believe
91,93,gros,large
92,94,plutôt,rather
93,95,aura,will have
94,96,filles,girls
95,97,jouer,to play
96,98,bureau,office
